NB_accuracy,NB_precision,NB_recall,NB_fmeasure,NB_roc_auc,KNN_accuracy,KNN_precision,KNN_recall,KNN_fmeasure,KNN_roc_auc,MLP_accuracy,MLP_precision,MLP_recall,MLP_fmeasure,MLP_roc_auc,RF_accuracy,RF_precision,RF_recall,RF_fmeasure,RF_roc_auc
0.5392561983471075,0.5291375291375291,0.9153225806451613,0.6706056129985228,0.6857914160743575,0.762396694214876,0.7607843137254902,0.782258064516129,0.7713717693836978,0.8246651175505741,0.7355371900826446,0.780373831775701,0.6733870967741935,0.7229437229437229,0.7841033351558229,0.7355371900826446,0.7459016393442623,0.7338709677419355,0.7398373983739837,0.8364714324767633
0.5764462809917356,0.5508274231678487,0.9395161290322581,0.6944858420268257,0.7253109622744669,0.75,0.7509881422924901,0.7661290322580645,0.7584830339321357,0.8169508611262986,0.6756198347107438,0.6511627906976745,0.7903225806451613,0.7140255009107468,0.705901448879169,0.7479338842975206,0.7350746268656716,0.7943548387096774,0.7635658914728682,0.8235459950792783
0.5516528925619835,0.5361305361305362,0.9274193548387096,0.6794682422451994,0.6784188764352105,0.7417355371900827,0.7510204081632653,0.7419354838709677,0.746450304259635,0.8357623701476217,0.6260330578512396,0.6030769230769231,0.7903225806451613,0.6841186736474695,0.6591289639147073,0.7582644628099173,0.752895752895753,0.7862903225806451,0.7692307692307694,0.8444163477310005
0.5495867768595041,0.5350467289719626,0.9233870967741935,0.6775147928994082,0.7029797703663203,0.7727272727272727,0.7653846153846153,0.8024193548387096,0.7834645669291338,0.8422037315472937,0.7272727272727273,0.7265625,0.75,0.7380952380952381,0.7599012438490977,0.7603305785123967,0.7340425531914894,0.8346774193548387,0.7811320754716982,0.8636464598141061
0.5702479338842975,0.5467289719626168,0.9435483870967742,0.6923076923076923,0.7250205030071076,0.7954545454545454,0.792156862745098,0.8145161290322581,0.8031809145129225,0.879066429743029,0.7541322314049587,0.6858789625360231,0.9596774193548387,0.8,0.7690763395297976,0.7789256198347108,0.7582417582417582,0.8346774193548387,0.7946257197696737,0.8758799207217058
0.5599173553719008,0.541371158392435,0.9233870967741935,0.6825633383010432,0.7070462001093494,0.7933884297520661,0.8057851239669421,0.7862903225806451,0.7959183673469388,0.8752562875888464,0.7541322314049587,0.7841409691629956,0.717741935483871,0.7494736842105263,0.7846500820120286,0.768595041322314,0.7481751824817519,0.8266129032258065,0.7854406130268201,0.8538819026790596
0.5578512396694215,0.5406698564593302,0.9112903225806451,0.6786786786786786,0.7193650902132311,0.7871900826446281,0.7911646586345381,0.7943548387096774,0.7927565392354124,0.8525662930563148,0.756198347107438,0.8066037735849056,0.6895161290322581,0.7434782608695653,0.7944744395844724,0.7995867768595041,0.7649122807017544,0.8790322580645161,0.8180112570356473,0.8837308638600329
0.5557851239669421,0.5379310344827586,0.9435483870967742,0.685212298682284,0.6833310552214324,0.7334710743801653,0.7370517928286853,0.7459677419354839,0.7414829659318637,0.8298250410060141,0.6549586776859504,0.6319218241042345,0.782258064516129,0.6990990990990991,0.6512267632586113,0.7665289256198347,0.7402135231316725,0.8387096774193549,0.7863894139886578,0.8641163203936577
0.5341614906832298,0.5253456221198156,0.9230769230769231,0.6696035242290749,0.6847509092156729,0.7536231884057971,0.7666666666666667,0.7449392712550608,0.75564681724846,0.8286300006862005,0.7453416149068323,0.7719298245614035,0.7125506072874493,0.7410526315789474,0.7680985383929184,0.7619047619047619,0.7598425196850394,0.7813765182186235,0.7704590818363274,0.8539079118918548
0.5755693581780539,0.5508274231678487,0.9395161290322581,0.6944858420268257,0.719646533973919,0.7681159420289855,0.7698412698412699,0.782258064516129,0.7760000000000001,0.8500085792724776,0.772256728778468,0.7674418604651163,0.7983870967741935,0.7826086956521738,0.7920899107755662,0.8053830227743272,0.8055555555555556,0.8185483870967742,0.812,0.8848318462594371
